Gene	HALLMARK_MYOGENESIS	HALLMARK_XENOBIOTIC_METABOLISM	HALLMARK_MITOTIC_SPINDLE	HALLMARK_COMPLEMENT	HALLMARK_KRAS_SIGNALING_DN	HALLMARK_HYPOXIA	HALLMARK_ESTROGEN_RESPONSE_LATE	HALLMARK_G2M_CHECKPOINT	HALLMARK_DNA_REPAIR	HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_UV_RESPONSE_DN	HALLMARK_HEME_METABOLISM	HALLMARK_UV_RESPONSE_UP	HALLMARK_BILE_ACID_METABOLISM	HALLMARK_ANDROGEN_RESPONSE	HALLMARK_SPERMATOGENESIS	HALLMARK_PANCREAS_BETA_CELLS	HALLMARK_NOTCH_SIGNALING	HALLMARK_MYC_TARGETS_V2
NCK2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF3B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BRCA2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC42EP2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIF20B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBD1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGEF11	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DYNLL2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PAFAH1B1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YWHAE	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MID1IP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABR	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORBS2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKD2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TUBA4A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KPTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYO9B	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VCL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MID1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARFGEF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYTH2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARL8A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTTN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASL	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYH10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALMS1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CLASP1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ANLN	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP72	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KATNB1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KIFAP3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MAP1S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CEP192	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASF1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ARHGAP10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SUN2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SHROOM2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IMP4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LAS1L	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
EXOSC5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AIMP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
BYSL	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
TFB2M	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NOP16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
UNG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
GRWD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PUS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PPRC1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
PRMT3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CDK4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
MCM5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1
CUL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0
MAML2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
HES1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DTX1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
DTX2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
TENT4A	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
TGFB1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
EZH2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0
STIL	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0
MT2A	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MEIS2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PRPF4B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CHAF1A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KNL1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORC5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E2F3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDC20	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AC091021.1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
UBE2S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PLK4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
KPNB1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MCM6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
DDX39A	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
SRSF2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
MYBL2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
HMMR	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAD21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PBK	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
PTTG3P	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CKS2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
E2F4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ORC6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
XPO1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FANCC	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDC7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
RAD54L	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
CDC25B	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
COL3A1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
COL1A1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CITED2	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FYN	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
INSIG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
PIK3R3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ADORA2B	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ICA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAV1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AMPH	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ARHGEF9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LDLR	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERBB2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PEX14	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MTA1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CDON	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ATRN	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
GCNT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FHL2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SNAI2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
FBLN5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
BCKDHB	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TGFBR3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CAP2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PHF3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MGLL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ANXA4	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SFMBT1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
AGGF1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
HAS2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
DDAH1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ID1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PC	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENO3	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PGAM2	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPP1R3C	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL4A2	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNG	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKM	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FST	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYF6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FGF2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGRN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COX6A2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP2A1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SORBS3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ITGB5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FKBP1B	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPM3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERBB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CHRNA1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOZ1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTN3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLF5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REEP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYOM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MEF2C	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CRYAB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HRC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EPHB3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SMTN	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLXNB2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SYNGR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FXYD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PKIA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SPARC	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AEBP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CTF1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGL	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CKMT2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MYL3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CASQ2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GABARAPL2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNC2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNNT3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DAPK2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GCLM	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
BSG	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0
ICAM4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
KLF1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACP5	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SEC14L1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CTNS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC22A4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HBZ	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ACKR1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TRIM58	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
EPB42	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MPP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DCAF11	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
XK	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
AHSP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC25A38	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SIDT2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HBQ1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HBD	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERMAP	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
HMBS	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FBXO34	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLC6A9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DMTN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TSPO2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
DHCR24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0
UBE2J1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CDK6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ALDH1A3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
CCND3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TMPRSS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NGLY1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
DNAJB9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
IQGAP2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SRF	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
NCOA4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
H1F0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
CMPK2	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
SAC3D1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ADRM1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
EIF1B	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR2E	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLR2F	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLE4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
AGO4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
POLL	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
