Gene	HALLMARK_MTORC1_SIGNALING	HALLMARK_ADIPOGENESIS	HALLMARK_FATTY_ACID_METABOLISM	HALLMARK_P53_PATHWAY	HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION	HALLMARK_KRAS_SIGNALING_UP	HALLMARK_COAGULATION	HALLMARK_MYC_TARGETS_V1	HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_GLYCOLYSIS	HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_ESTROGEN_RESPONSE_EARLY	HALLMARK_ANGIOGENESIS	HALLMARK_APICAL_SURFACE	HALLMARK_TGF_BETA_SIGNALING	HALLMARK_PEROXISOME	HALLMARK_IL6_JAK_STAT3_SIGNALING	HALLMARK_CHOLESTEROL_HOMEOSTASIS	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_WNT_BETA_CATENIN_SIGNALING
NFKBIE	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ACKR3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
DUSP2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IL18	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SLC2A6	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
G0S2	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
YRDC	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IL7R	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
BIRC3	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
IER3	0	0	0	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
TNFSF9	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
CDKN1A	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
JAG2	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
S100A4	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PDGFA	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
SLCO2A1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PTK2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
TNFRSF21	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
PGLYRP1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
VTN	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
APOH	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FUCA1	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SAT1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PCNA	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FDXR	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ISCU	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
BAK1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
EPHX1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PROCR	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HMOX1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELP1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC61A1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ALOX15B	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RPL36	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC19A2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HDAC3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PMM1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CYFIP2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
BAX	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PTPRE	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RHBDF2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPM1D	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HIST3H2A	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLK3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PIDD1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RALGDS	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RB1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADA	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABHD4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TCN2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDKN2AIP	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTRA1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
COMP	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MMP1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FBN1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
TIMP1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0
WDR1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SIRT2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
FGG	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
S100A1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PROC	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
C1QA	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
MEP1A	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PROZ	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSE	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RAPGEF3	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RABIF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F8	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PROS1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CRIP2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
VWF	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CFD	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ACOX2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CPN1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F9	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
RGN	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
CTSV	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
PEF1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
F2RL2	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
DKK1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NOTCH4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
AXIN1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
WNT1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
HEY2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
CXCL6	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0
MSX1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
COL5A2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
FSTL1	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
LUM	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
CXCL1	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
SDC4	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GADD45B	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
INHBA	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SGCG	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FERMT2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IGFBP4	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PPIB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LAMC2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NID2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TAGLN	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOXL1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECM1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
VEGFC	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OXTR	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
COL5A3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EDIL3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
THBS2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EMP3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PDGFRB	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GPX7	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLOD3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IL32	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MATN3	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SDC1	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
QSOX1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GOT2	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0
GUSB	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
GAPDHS	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
POLR3K	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
B3GNT3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GPR87	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
HAX1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
LHPP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GALK1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
SLC16A3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PHKA2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PFKFB1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GYS1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
XYLT2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GMPPA	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
NANP	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ECD	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
MXI1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
PAXIP1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
GATA3	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PKHD1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TMEM8B	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CD160	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
BRCA1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NCOA6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
HSPB1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
PCSK9	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ATP6V0A4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
CRYBG1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
RHCG	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
TFF3	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0
DHRS3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
SLC9A3R1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SLC7A2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KRT8	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PLAAT3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SIAH2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TFAP2C	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
SLC37A1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CBFA2T3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CLIC3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
PODXL	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OLFML3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
TMPRSS3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RETREG1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
MINDY1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
CCN5	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RAPGEFL1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
RASGRP1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ZNF185	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OVOL2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KRT18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
KLF10	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0
BCAR3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CDK9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SLC20A1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACVR1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
RHOA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SMAD1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
SMAD6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ID3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
CDH1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
NOG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
IRF9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
IL7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
DHX58	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
NCOA7	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ELF1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRIM25	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CNP	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IFI44	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PARP14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
SAMD9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRIM5	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PSME2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IFITM2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
TRIM26	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IRF2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
HERC6	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LAP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
CMTR1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IFI27	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
GMPR	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PARP12	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
LAMP3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PSMA3	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
IFI30	1	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
PRDX1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
TXNRD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
PGM1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACLY	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
GBE1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ELOVL6	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
STARD4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
SERPINH1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TES	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMA4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPD1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PITPNB	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM129A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
YKT6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUP205	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
IDI1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AURKA	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ACTR2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CORO1A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FADS1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
USO1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SKAP2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSPA5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CFP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
EBP	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMC6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MLLT11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PSMD13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NUFIP1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TBK1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CCNF	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SEC11A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP5MC1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
POLR3G	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
UFM1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RRM2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
